bsi11s8g01081,.,tsi13s22g00149,tsi13s1g00744,,tsi13s1g00497,atr42s3g02091
bsi11s2g00864,bsi11s5g01143,tsi13s4g00819,tsi13s12g00689,tsi13s3g00442,tsi13s18g00382,atr42s12g01304
bsi11s2g00862,.,tsi13s4g00817,.,tsi13s3g00444,tsi13s18g00383,atr42s12g01306
.,bsi11s5g01145,tsi13s4g00815,.,tsi13s3g00446,tsi13s18g00385,atr42s12g01337
bsi11s2g00860,bsi11s5g01146,tsi13s4g00814,tsi13s12g00687,tsi13s3g00447,tsi13s18g00386,atr42s12g01341
bsi11s2g00859,.,tsi13s4g00812,.,tsi13s3g00448,tsi13s18g00387,atr42s12g01342
.,bsi11s5g01149,tsi13s4g00807,tsi13s12g00686,tsi13s3g00419,tsi13s18g00389,atr42s12g01349
bsi11s2g00856,bsi11s5g01150,tsi13s4g00806,tsi13s12g00685,tsi13s3g00418,tsi13s18g00390,atr42s12g01352
bsi11s2g00823,bsi11s5g01169,tsi13s4g00774,tsi13s12g00665,tsi13s3g00377,tsi13s18g00407,atr42s12g00620
bsi11s2g00818,bsi11s5g01174,.,tsi13s12g00662,.,tsi13s18g00411,atr42s12g00577
bsi11s2g00796,bsi11s5g01181,.,tsi13s12g00656,tsi13s3g00361,tsi13s18g00416,atr42s12g00659
bsi11s2g00786,.,tsi13s4g00762,.,.,tsi13s18g00421,atr42s12g00667
.,bsi11s5g01192,.,tsi13s12g00648,tsi13s3g00352,tsi13s18g00423,atr42s12g00689
bsi11s2g00706,.,tsi13s4g00700,.,tsi13s3g00304,tsi13s18g00459,atr42s13g01287
bsi11s2g00703,bsi11s5g01252,tsi13s4g00699,tsi13s12g00600,tsi13s3g00302,tsi13s18g00461,atr42s13g01279
bsi11s2g00697,.,tsi13s4g00696,tsi13s12g00597,.,tsi13s18g00464,atr42s13g01278
bsi11s2g00695,bsi11s5g01256,tsi13s4g00695,.,tsi13s3g00298,tsi13s18g00465,atr42s11g01494
bsi11s2g00693,bsi11s5g01257,tsi13s4g00692,tsi13s12g00593,tsi13s3g00296,tsi13s18g00467,atr42s11g01493
bsi11s2g00687,.,.,tsi13s12g00590,tsi13s3g00290,tsi13s18g00474,atr42s11g01472
bsi11s2g00639,bsi11s5g01298,tsi13s4g00642,tsi13s12g00545,.,tsi13s18g00497,atr42s4g01701
bsi11s2g00630,bsi11s5g01301,tsi13s4g00638,tsi13s12g00542,tsi13s3g00250,tsi13s18g00499,atr42s4g01724
bsi11s2g00616,.,.,tsi13s12g00538,tsi13s3g00237,tsi13s18g00511,atr42s4g01778
bsi11s2g00608,bsi11s5g01318,tsi13s4g00621,tsi13s12g00534,tsi13s3g00228,tsi13s18g00521,atr42s4g01184
bsi11s2g00605,bsi11s5g01320,tsi13s4g00615,tsi13s12g00533,tsi13s3g00224,tsi13s18g00522,atr42s4g01156
bsi11s2g00587,bsi11s5g01340,.,tsi13s12g00511,tsi13s3g00202,tsi13s18g00538,atr42s4g01110
bsi11s2g00578,.,tsi13s4g00581,.,,tsi13s18g00548,atr42s13g01947
bsi11s2g00575,.,tsi13s4g00579,.,,tsi13s18g00549,atr42s13g01952
bsi11s2g00563,bsi11s5g01358,tsi13s4g00572,tsi13s12g00502,,tsi13s18g00552,atr42s13g01959
.,bsi11s5g01361,.,tsi13s12g00493,,tsi13s18g00556,atr42s13g01961
bsi11s2g00549,bsi11s5g01375,.,tsi13s12g00482,,tsi13s18g00561,atr42s13g01992
.,bsi11s5g01387,tsi13s4g00542,.,,tsi13s18g00567,atr42s13g02028
bsi11s2g00533,bsi11s5g01390,tsi13s4g00538,.,,tsi13s18g00569,atr42s13g02033
.,bsi11s5g01394,tsi13s4g00535,.,,tsi13s18g00575,atr42s13g02046
bsi11s2g00529,bsi11s5g01396,tsi13s4g00534,tsi13s12g00475,,tsi13s18g00576,atr42s13g02048
bsi11s2g00518,bsi11s5g01404,tsi13s4g00521,,,tsi13s18g00580,atr42s13g02063
.,bsi11s5g01887,,tsi13s12g00090,,tsi13s18g00586,atr42s9g00438
.,bsi11s5g01869,,tsi13s12g00101,,tsi13s18g00595,atr42s9g00477
bsi11s2g00106,.,,tsi13s12g00105,,tsi13s18g00596,atr42s9g00484
bsi11s2g00107,bsi11s5g01866,,tsi13s12g00106,,tsi13s18g00597,atr42s9g00486
bsi11s2g00108,bsi11s5g01865,,tsi13s12g00107,tsi13s3g00832,tsi13s18g00606,atr42s9g00487
bsi11s2g00980,bsi11s5g01021,tsi13s4g00944,tsi13s12g00760,tsi13s3g00833,tsi13s18g00609,atr42s13g01585
bsi11s2g00984,bsi11s5g01016,tsi13s4g00947,tsi13s12g00766,tsi13s3g00834,tsi13s18g00611,atr42s13g01578
bsi11s2g00989,.,tsi13s4g00952,.,tsi13s3g00840,tsi13s18g00613,atr42s13g01558
.,bsi11s5g01009,tsi13s4g00956,tsi13s12g00772,.,tsi13s18g00618,atr42s13g01542
.,bsi11s5g01003,.,tsi13s12g00777,.,tsi13s18g00624,atr42s13g01532
bsi11s2g00997,bsi11s5g01001,tsi13s4g00964,.,tsi13s3g00852,tsi13s18g00627,atr42s13g01519
bsi11s2g00998,.,tsi13s4g00965,.,tsi13s3g00853,tsi13s18g00628,atr42s13g01518
bsi11s2g01007,bsi11s5g00993,tsi13s4g00972,tsi13s12g00785,tsi13s3g01635,tsi13s18g00630,atr42s13g01499
bsi11s2g01009,.,tsi13s4g00973,tsi13s12g00786,.,tsi13s18g00634,atr42s13g01484
bsi11s2g01010,.,.,tsi13s12g00788,tsi13s3g01638,tsi13s18g00635,atr42s13g01476
bsi11s2g01012,bsi11s5g00970,tsi13s4g00989,tsi13s12g00799,tsi13s3g01647,tsi13s18g00638,atr42s13g01438
.,bsi11s5g00966,tsi13s4g00998,tsi13s12g00800,tsi13s3g01651,tsi13s18g00643,atr42s13g01766
bsi11s2g01023,.,tsi13s4g01004,tsi13s12g00804,.,tsi13s18g00655,atr42s13g01773
bsi11s2g01025,.,tsi13s4g01005,.,tsi13s3g01663,tsi13s18g00657,atr42s13g01783
bsi11s2g01026,.,tsi13s4g01007,tsi13s12g00810,tsi13s3g01664,tsi13s18g00658,atr42s13g01784
bsi11s2g01037,bsi11s14g00558,tsi13s4g01031,tsi13s12g00831,tsi13s3g01680,tsi13s18g00668,atr42s13g01824
.,bsi11s5g00679,tsi13s4g01033,.,.,tsi13s18g00676,atr42s13g01841
bsi11s2g01051,bsi11s14g00567,tsi13s4g01036,.,tsi13s3g01691,tsi13s18g00694,atr42s4g02057
bsi11s2g01061,bsi11s5g00689,tsi13s4g01050,tsi13s12g00845,tsi13s3g01698,tsi13s18g00706,atr42s4g02042
bsi11s2g01062,.,tsi13s4g01051,tsi13s12g00846,.,tsi13s18g00707,atr42s4g02041
bsi11s2g01065,bsi11s14g00572,tsi13s4g01055,.,tsi13s3g01702,tsi13s18g00710,atr42s4g02030
bsi11s2g01075,bsi11s5g00697,tsi13s4g01056,tsi13s12g00851,tsi13s3g01709,tsi13s18g00716,atr42s4g02014
bsi11s2g01077,.,tsi13s4g01061,.,tsi13s3g01713,tsi13s18g00719,atr42s4g02008
bsi11s2g01084,.,tsi13s4g01067,tsi13s12g00858,tsi13s3g01722,tsi13s18g00725,atr42s4g02001
bsi11s2g01130,.,tsi13s4g01124,tsi13s12g00892,tsi13s3g01775,tsi13s18g00749,atr42s4g00670
bsi11s2g01131,bsi11s5g00745,.,tsi13s12g00893,tsi13s3g01776,tsi13s18g00750,atr42s4g00667
bsi11s2g01132,.,.,tsi13s12g00894,tsi13s3g01777,tsi13s18g00751,atr42s4g00666
bsi11s2g01142,.,tsi13s4g01134,.,tsi13s3g01783,tsi13s18g00754,atr42s4g00590
.,bsi11s5g00753,.,tsi13s12g00910,.,tsi13s18g00756,atr42s4g00582
bsi11s2g01150,bsi11s5g00766,tsi13s4g01141,.,tsi13s3g01789,tsi13s18g00768,atr42s4g00567
bsi11s2g01152,bsi11s5g00770,tsi13s4g01146,tsi13s12g00917,tsi13s3g01801,tsi13s18g00778,atr42s4g00546
.,bsi11s5g00779,tsi13s4g01151,.,tsi13s3g01808,tsi13s18g00784,atr42s4g00524
.,bsi11s5g00783,tsi13s4g01154,.,tsi13s3g01812,tsi13s18g00791,atr42s4g00500
bsi11s2g01178,bsi11s5g00812,tsi13s4g01168,tsi13s12g00940,tsi13s3g01828,tsi13s18g00802,atr42s4g02283
bsi11s2g01185,bsi11s5g00820,tsi13s4g01178,tsi13s12g00947,tsi13s3g01834,tsi13s18g00804,atr42s4g02302
bsi11s2g01201,bsi11s5g00837,tsi13s4g01194,tsi13s12g00958,tsi13s3g01847,tsi13s18g00829,atr42s4g02336
bsi11s2g01212,bsi11s5g00848,tsi13s4g01205,.,.,tsi13s18g00833,atr42s4g02354
bsi11s2g01217,bsi11s5g00854,tsi13s4g01209,tsi13s12g00970,tsi13s3g01860,tsi13s18g00835,atr42s4g02362
bsi11s2g01231,bsi11s5g00867,tsi13s4g01224,.,tsi13s3g01883,tsi13s18g00858,atr42s4g02404
.,bsi11s5g00870,tsi13s4g01226,.,tsi13s3g01888,tsi13s18g00862,atr42s4g02427
bsi11s2g01238,.,.,tsi13s12g00998,.,tsi13s18g00866,atr42s4g02453
.,bsi11s5g00888,tsi13s4g01239,.,tsi13s3g01907,tsi13s18g00867,atr42s4g02460
bsi11s2g01242,bsi11s5g00890,tsi13s4g01243,tsi13s12g01005,tsi13s3g01909,tsi13s18g00869,atr42s4g02463
.,bsi11s5g00891,.,tsi13s12g01007,tsi13s3g01910,tsi13s18g00870,atr42s4g02465
.,bsi11s5g00899,tsi13s4g01252,.,tsi13s3g01918,tsi13s18g00880,atr42s4g02480
.,bsi11s5g00919,tsi13s4g01273,.,.,tsi13s18g00898,atr42s5g01873
bsi11s2g01329,bsi11s5g00628,tsi13s4g01308,.,tsi13s3g01979,tsi13s18g00919,atr42s11g01512
.,bsi11s5g00627,tsi13s4g01316,.,tsi13s3g01980,tsi13s18g00921,atr42s11g01513
bsi11s2g01355,bsi11s5g00601,tsi13s4g01343,.,tsi13s3g02002,tsi13s18g00929,atr42s11g00303
bsi11s2g01361,bsi11s5g00597,tsi13s4g01351,tsi13s12g01068,tsi13s3g02008,tsi13s18g00934,atr42s11g00318
bsi11s2g01367,bsi11s5g00594,tsi13s4g01352,tsi13s12g01070,tsi13s3g02009,tsi13s18g00941,atr42s11g00325
bsi11s2g01385,bsi11s5g00586,.,tsi13s12g01075,tsi13s3g02025,tsi13s18g00944,atr42s11g00348
bsi11s8g00946,bsi11s5g00560,tsi13s4g01403,.,tsi13s3g02050,tsi13s18g00988,atr42s11g00421
bsi11s2g01454,.,tsi13s4g01419,.,tsi13s3g02064,tsi13s18g01009,atr42s11g01798
.,bsi11s5g00538,tsi13s4g01434,.,tsi13s3g02073,tsi13s18g01018,atr42s11g01789
bsi11s2g01473,.,tsi13s4g01435,.,.,tsi13s18g01020,atr42s11g01784
bsi11s2g01484,bsi11s5g00529,.,tsi13s14g00830,.,tsi13s18g01026,atr42s11g01757
.,bsi11s5g00524,tsi13s4g01442,.,tsi13s3g02085,tsi13s18g01029,atr42s11g01745
bsi11s2g01601,.,tsi13s4g01845,tsi13s12g01340,.,tsi13s18g01082,atr42s11g01558
bsi11s2g01611,.,tsi13s4g01840,.,.,tsi13s18g01086,atr42s11g01584
bsi11s2g01612,.,tsi13s4g01837,tsi13s12g01331,tsi13s3g02142,tsi13s18g01087,atr42s11g01590
bsi11s2g01659,bsi11s5g00439,.,tsi13s12g01299,.,tsi13s18g01125,atr42s11g01610
.,bsi11s3g00001,tsi13s5g00006,,,tsi13s15g00924,atr42s8g02063
.,bsi11s3g00002,tsi13s5g00010,,,tsi13s15g00922,atr42s8g02151
bsi11s1g02470,.,tsi13s5g00027,.,tsi13s6g00006,.,atr42s8g02112
bsi11s1g02469,.,tsi13s5g00032,.,tsi13s6g00008,.,atr42s8g02101
bsi11s1g02468,bsi11s3g00022,tsi13s5g00033,tsi13s14g01448,tsi13s6g00010,tsi13s15g00914,atr42s8g02099
.,bsi11s12g00307,tsi13s5g00034,.,tsi13s6g00012,.,atr42s8g02074
bsi11s1g02467,.,tsi13s5g00038,tsi13s14g01446,tsi13s6g00014,tsi13s15g00913,atr42s8g02077
.,bsi11s12g00304,tsi13s5g00046,tsi13s14g01439,tsi13s20g00994,.,atr42s8g02085
.,bsi11s3g00030,tsi13s5g00048,tsi13s14g01435,.,tsi13s15g00910,atr42s8g02093
bsi11s1g02457,bsi11s12g00300,tsi13s5g00050,tsi13s14g01432,tsi13s20g00996,.,atr42s8g02070
bsi11s1g02454,bsi11s12g00297,tsi13s5g00052,.,tsi13s20g00998,tsi13s15g00908,atr42s8g02067
.,bsi11s12g00295,tsi13s5g00053,tsi13s14g01430,tsi13s20g00999,.,atr42s8g02066
bsi11s1g02450,.,tsi13s5g00061,.,tsi13s6g00022,.,atr42s8g02052
.,bsi11s3g00040,tsi13s5g00062,.,tsi13s6g00023,.,atr42s8g02046
.,bsi11s3g00041,tsi13s5g00063,tsi13s14g01423,tsi13s20g01013,tsi13s15g00904,atr42s8g02043
.,bsi11s3g00051,tsi13s5g00069,.,tsi13s6g00035,.,atr42s8g02027
.,bsi11s3g00056,tsi13s5g00073,tsi13s14g01418,tsi13s6g00036,.,atr42s8g02009
.,bsi11s3g00058,tsi13s5g00075,.,tsi13s6g00039,tsi13s15g00892,atr42s8g02006
.,bsi11s3g00059,tsi13s5g00076,.,tsi13s6g00040,tsi13s15g00891,atr42s8g02004
bsi11s1g02438,.,tsi13s5g00078,tsi13s14g01414,tsi13s6g00042,.,atr42s8g01995
bsi11s1g02435,.,tsi13s5g00081,.,tsi13s6g00045,.,atr42s8g01990
bsi11s1g02434,bsi11s3g00064,tsi13s5g00082,.,tsi13s6g00047,tsi13s15g00887,atr42s8g01984
bsi11s1g02433,bsi11s3g00066,tsi13s5g00085,tsi13s14g01410,tsi13s6g00049,tsi13s15g00886,atr42s8g01979
bsi11s1g02432,bsi11s3g00067,tsi13s5g00086,tsi13s14g01409,tsi13s6g00050,.,atr42s8g01978
bsi11s1g02426,bsi11s3g00070,tsi13s5g00092,.,tsi13s6g00054,tsi13s15g00877,atr42s8g01963
bsi11s1g02424,.,tsi13s5g00096,.,tsi13s6g00055,tsi13s15g00875,atr42s8g01954
.,bsi11s3g00076,tsi13s5g00098,tsi13s14g01406,.,tsi13s15g00873,atr42s8g01949
.,bsi11s3g00077,tsi13s5g00101,tsi13s14g01400,tsi13s6g00059,.,atr42s8g01870
bsi11s1g02420,bsi11s3g00078,tsi13s5g00102,tsi13s14g01399,tsi13s6g00060,.,atr42s8g01872
bsi11s1g02418,bsi11s3g00079,tsi13s5g00104,.,tsi13s6g00061,tsi13s15g00871,atr42s8g01874
.,bsi11s3g00080,tsi13s5g00105,.,tsi13s6g00064,.,atr42s8g01878
bsi11s1g02416,.,tsi13s5g00106,.,tsi13s6g00066,.,atr42s8g01880
bsi11s1g02414,.,tsi13s5g00107,.,.,tsi13s15g00867,atr42s8g01883
bsi11s1g02410,bsi11s3g00082,tsi13s5g00111,.,tsi13s6g00069,tsi13s15g00865,atr42s8g01911
.,bsi11s3g00084,tsi13s5g00112,tsi13s14g01396,tsi13s6g00071,.,atr42s8g01902
.,bsi11s3g00090,tsi13s5g00116,.,tsi13s6g00074,tsi13s15g00863,atr42s8g01891
.,bsi11s3g00095,tsi13s5g00118,.,tsi13s6g00078,.,atr42s8g01912
bsi11s1g02402,bsi11s3g00098,tsi13s5g00119,.,tsi13s6g00081,tsi13s15g00854,atr42s8g01917
bsi11s1g02399,bsi11s3g00100,tsi13s5g00123,.,tsi13s6g00084,.,atr42s8g01923
bsi11s1g02395,bsi11s3g00105,tsi13s5g00127,.,tsi13s6g00089,tsi13s15g00849,atr42s8g01939
.,bsi11s3g00106,tsi13s5g00129,tsi13s14g01385,tsi13s6g00090,.,atr42s8g01941
.,bsi11s3g00117,tsi13s5g00137,.,tsi13s6g00103,.,atr42s8g01855
.,bsi11s3g00123,tsi13s5g00140,.,tsi13s6g00113,tsi13s15g00839,atr42s8g01507
bsi11s1g02381,bsi11s3g00125,tsi13s5g00142,.,tsi13s6g00116,.,atr42s8g01512
bsi11s1g02380,bsi11s3g00135,tsi13s5g00144,tsi13s14g01377,tsi13s6g00121,tsi13s15g00831,atr42s8g01519
bsi11s1g02375,bsi11s3g00145,tsi13s5g00148,.,tsi13s6g00128,.,atr42s8g01524
bsi11s1g02371,.,tsi13s5g00149,tsi13s14g01373,tsi13s6g00132,.,atr42s8g01532
bsi11s1g02366,.,tsi13s5g00154,.,tsi13s6g00136,.,atr42s8g01548
.,bsi11s3g00151,tsi13s5g00163,.,tsi13s6g00141,.,atr42s8g01565
bsi11s1g02360,bsi11s3g00153,tsi13s5g00165,tsi13s14g01366,tsi13s6g00142,tsi13s15g00824,atr42s8g01570
bsi11s1g02351,.,tsi13s5g00172,.,tsi13s6g00148,.,atr42s8g01585
bsi11s1g02349,.,tsi13s5g00174,tsi13s14g01362,tsi13s6g00149,.,atr42s8g01586
bsi11s1g02335,bsi11s3g00171,tsi13s5g00188,tsi13s14g01355,.,tsi13s15g00815,atr42s8g01619
bsi11s1g02325,.,tsi13s5g00194,tsi13s14g01344,tsi13s3g01337,tsi13s15g00800,atr42s1g01648
.,bsi11s3g00182,tsi13s5g00195,.,tsi13s6g00182,.,atr42s8g01651
bsi11s1g02322,.,tsi13s5g00197,.,.,tsi13s15g00799,atr42s8g01657
bsi11s6g01586,bsi11s3g00186,tsi13s5g00199,tsi13s14g01341,tsi13s6g00185,.,atr42s1g01665
bsi11s1g02315,.,tsi13s5g00202,tsi13s14g01340,tsi13s3g01331,tsi13s15g00790,atr42s1g01699
bsi11s1g02313,bsi11s3g00192,tsi13s5g00206,tsi13s14g01339,tsi13s6g00194,.,atr42s8g01684
bsi11s1g02310,bsi11s3g00200,tsi13s5g00208,tsi13s14g01337,tsi13s6g00204,.,atr42s8g01810
.,bsi11s3g00208,tsi13s5g00217,.,tsi13s3g01315,.,atr42s1g01728
bsi11s1g02302,bsi11s3g00216,tsi13s5g00222,tsi13s14g01327,tsi13s6g00215,tsi13s15g00787,atr42s8g01802
bsi11s1g02300,.,tsi13s5g00226,tsi13s14g01325,tsi13s6g00216,.,atr42s8g01792
bsi11s1g02296,.,tsi13s5g00230,tsi13s14g01322,tsi13s3g01314,.,atr42s1g01730
bsi11s1g02295,bsi11s3g00222,tsi13s5g00231,.,tsi13s3g01310,tsi13s15g00784,atr42s8g01760
.,bsi11s3g00223,tsi13s5g00233,tsi13s14g01320,tsi13s3g01307,.,atr42s8g01764
bsi11s1g02287,.,tsi13s5g00240,.,.,tsi13s15g00778,atr42s8g01752
.,bsi11s3g00230,tsi13s5g00241,.,tsi13s6g00227,.,atr42s8g01751
bsi11s1g02286,bsi11s3g00232,tsi13s5g00242,tsi13s14g01315,tsi13s6g00228,tsi13s15g00777,atr42s1g01773
bsi11s6g01633,bsi11s3g00237,tsi13s5g00248,tsi13s14g01309,tsi13s6g00238,tsi13s15g00770,atr42s8g01772
bsi11s1g02280,.,tsi13s5g00251,tsi13s14g01306,tsi13s6g00243,.,atr42s8g01727
bsi11s1g02278,bsi11s3g00239,tsi13s5g00253,.,tsi13s6g00244,.,atr42s8g01717
bsi11s1g02277,bsi11s3g00241,tsi13s5g00255,tsi13s14g01304,tsi13s6g00245,.,atr42s8g01713
bsi11s1g02274,bsi11s3g00243,tsi13s5g00256,tsi13s14g01301,tsi13s6g00246,.,atr42s8g01707
bsi11s1g02272,bsi11s3g00244,tsi13s5g00257,tsi13s14g01300,tsi13s6g00248,.,atr42s8g01704
bsi11s1g02269,bsi11s3g00248,tsi13s5g00258,tsi13s14g01298,tsi13s6g00249,.,atr42s8g00021
.,bsi11s3g00250,tsi13s5g00259,.,tsi13s6g00251,tsi13s15g00768,atr42s8g00023
bsi11s1g02262,bsi11s3g00255,tsi13s5g00268,tsi13s14g01291,tsi13s6g00254,.,atr42s8g00034
bsi11s1g02261,.,tsi13s5g00269,tsi13s14g01290,tsi13s6g00255,.,atr42s8g00035
bsi11s1g02260,.,tsi13s5g00270,.,tsi13s6g00256,.,atr42s8g00036
bsi11s1g02255,.,tsi13s5g00271,.,tsi13s6g00259,tsi13s15g00761,atr42s7g01905
.,bsi11s3g00259,tsi13s5g00274,tsi13s14g01286,tsi13s6g00260,tsi13s15g00760,atr42s8g00048
bsi11s1g02253,bsi11s3g00264,tsi13s5g00275,tsi13s14g01285,tsi13s6g00264,.,atr42s8g00057
bsi11s1g02250,bsi11s3g00268,tsi13s5g00277,.,tsi13s6g00270,.,atr42s7g01920
bsi11s1g02249,.,tsi13s5g00278,.,.,tsi13s15g00753,atr42s7g01921
.,bsi11s3g00269,tsi13s5g00279,.,tsi13s6g00272,.,atr42s7g01923
.,bsi11s3g00278,tsi13s5g00285,.,tsi13s6g00277,.,atr42s7g01927
bsi11s1g02244,bsi11s3g00280,tsi13s5g00286,.,.,tsi13s15g00728,atr42s8g00080
bsi11s1g02241,bsi11s3g00284,tsi13s5g00289,.,.,tsi13s15g00724,atr42s8g00090
.,bsi11s3g00292,tsi13s5g00291,.,tsi13s6g00285,tsi13s15g00722,atr42s8g00095
.,bsi11s3g00298,tsi13s5g00297,.,tsi13s6g00290,.,atr42s8g00104
.,bsi11s3g00299,tsi13s5g00298,.,tsi13s6g00292,tsi13s15g00719,atr42s8g00107
.,bsi11s3g00303,tsi13s5g00299,tsi13s14g01282,tsi13s6g00294,tsi13s15g00714,atr42s8g00113
.,bsi11s3g00308,tsi13s5g00302,.,tsi13s6g00297,tsi13s15g00710,atr42s8g00119
bsi11s1g02223,bsi11s3g00317,tsi13s5g00310,tsi13s14g01266,tsi13s6g00302,tsi13s15g00692,atr42s8g00137
bsi11s1g02221,.,tsi13s5g00311,tsi13s14g01262,.,tsi13s15g00689,atr42s8g00138
bsi11s1g02220,bsi11s3g00319,tsi13s5g00313,.,.,tsi13s15g00688,atr42s8g00142
bsi11s1g02218,.,tsi13s5g00317,.,tsi13s6g00307,tsi13s15g00686,atr42s8g00146
bsi11s1g02206,bsi11s3g00335,tsi13s5g00328,.,tsi13s6g00321,tsi13s15g00679,atr42s8g00176
bsi11s1g02204,.,tsi13s5g00330,tsi13s14g01249,tsi13s6g00323,tsi13s15g00677,atr42s8g00184
bsi11s1g02199,.,tsi13s5g00337,.,tsi13s6g00326,tsi13s15g00672,atr42s8g00195
bsi11s1g02198,bsi11s3g00342,tsi13s5g00339,tsi13s14g01224,tsi13s6g00327,tsi13s15g00671,atr42s8g00200
bsi11s1g02194,.,tsi13s5g00341,tsi13s14g01220,tsi13s6g00333,tsi13s7g00215,atr42s8g00207
.,bsi11s3g00346,tsi13s5g00346,.,tsi13s6g00335,.,atr42s8g00217
bsi11s1g02188,,tsi13s5g00347,.,tsi13s6g00336,.,atr42s8g00218
bsi11s1g01828,bsi11s3g00737,tsi13s5g00350,tsi13s14g01213,tsi13s6g00699,tsi13s15g00372,atr42s7g00028
.,bsi11s3g00739,tsi13s5g00351,tsi13s14g01212,tsi13s6g00701,tsi13s7g00231,atr42s7g00030
bsi11s1g01825,bsi11s3g00741,tsi13s5g00352,.,tsi13s6g00703,tsi13s7g00247,atr42s7g00032
bsi11s1g01824,.,tsi13s5g00353,.,tsi13s6g00704,.,atr42s7g00033
bsi11s1g01821,bsi11s3g00748,tsi13s5g00364,tsi13s14g01199,tsi13s6g00710,tsi13s15g00367,atr42s7g00059
bsi11s1g01819,bsi11s3g00751,tsi13s5g00365,tsi13s14g01198,tsi13s6g00712,tsi13s15g00365,atr42s7g00060
bsi11s1g01818,bsi11s3g00752,tsi13s5g00367,tsi13s14g01197,.,tsi13s15g00364,atr42s7g00061
.,bsi11s3g00753,tsi13s5g00368,tsi13s14g01195,tsi13s6g00713,tsi13s15g00362,atr42s7g00063
bsi11s1g01816,.,tsi13s5g00370,tsi13s14g01193,.,tsi13s7g00269,atr42s7g00065
,bsi11s3g00756,tsi13s5g00373,tsi13s14g01190,tsi13s6g00719,tsi13s7g00275,atr42s7g00071
bsi11s1g01877,bsi11s3g00680,tsi13s5g00375,tsi13s14g01189,tsi13s6g00659,tsi13s15g00416,atr42s8g01156
bsi11s1g01881,.,tsi13s5g00381,tsi13s14g01184,tsi13s6g00654,tsi13s15g00422,atr42s8g01186
bsi11s1g01882,bsi11s3g00676,tsi13s5g00382,.,tsi13s6g00653,tsi13s15g00424,atr42s8g01220
.,bsi11s3g00675,tsi13s5g00383,.,tsi13s6g00652,.,atr42s8g01218
.,bsi11s3g00674,tsi13s5g00384,tsi13s14g01183,tsi13s6g00649,tsi13s15g00425,atr42s8g01216
bsi11s1g01883,.,tsi13s5g00385,tsi13s14g01179,tsi13s6g00647,.,atr42s8g01206
bsi11s1g01886,.,tsi13s5g00387,tsi13s14g01175,tsi13s6g00643,.,atr42s8g01231
.,bsi11s3g00660,tsi13s5g00391,tsi13s14g01169,tsi13s6g00641,.,atr42s8g01174
bsi11s1g01889,.,tsi13s5g00392,tsi13s14g01168,tsi13s6g00640,.,atr42s8g01271
.,bsi11s3g00657,tsi13s5g00395,.,tsi13s6g00639,.,atr42s8g01282
bsi11s1g01891,bsi11s3g00656,tsi13s5g00396,tsi13s14g01164,tsi13s6g00638,tsi13s15g00426,atr42s8g01295
bsi11s1g01896,.,tsi13s5g00400,.,.,tsi13s15g00434,atr42s8g01325
bsi11s1g01906,.,tsi13s5g00410,.,tsi13s6g00628,.,atr42s8g01369
bsi11s1g01909,bsi11s3g00640,tsi13s5g00412,tsi13s14g01159,tsi13s6g00627,tsi13s15g00445,atr42s8g01370
.,bsi11s3g00633,tsi13s5g00416,.,tsi13s6g00620,tsi13s15g00452,atr42s8g01420
bsi11s1g01927,.,tsi13s5g00421,.,tsi13s6g00600,tsi13s15g00463,atr42s8g01434
.,bsi11s3g00621,tsi13s5g00426,tsi13s14g01142,tsi13s6g00590,tsi13s15g00477,atr42s8g01832
bsi11s1g01945,bsi11s3g00619,tsi13s5g00432,.,tsi13s6g00588,.,atr42s8g01817
bsi11s1g01946,.,tsi13s5g00433,tsi13s14g01138,tsi13s6g00587,.,atr42s8g00879
bsi11s1g01971,bsi11s3g00601,tsi13s5g00452,tsi13s14g01130,tsi13s6g00564,tsi13s15g00497,atr42s8g00856
bsi11s1g01972,bsi11s3g00596,tsi13s5g00454,.,tsi13s6g00562,.,atr42s8g00849
bsi11s1g01974,.,tsi13s5g00456,.,tsi13s6g00560,tsi13s15g00499,atr42s8g00830
.,bsi11s3g00595,tsi13s5g00457,tsi13s14g01128,.,tsi13s15g00500,atr42s8g00829
bsi11s1g01986,bsi11s3g00581,tsi13s5g00471,.,tsi13s6g00539,tsi13s15g00513,atr42s8g00788
bsi11s1g01713,bsi11s3g00576,tsi13s5g00474,tsi13s14g01116,tsi13s6g00533,.,atr42s8g00777
bsi11s1g01708,bsi11s3g00574,tsi13s5g00475,.,tsi13s6g00529,.,atr42s8g00761
bsi11s1g01999,bsi11s3g00567,tsi13s5g00479,tsi13s14g01112,tsi13s6g00523,.,atr42s8g00646
bsi11s1g02000,bsi11s3g00549,tsi13s5g00481,tsi13s14g01109,.,tsi13s15g00522,atr42s8g00728
bsi11s1g01692,bsi11s3g00550,tsi13s5g00482,.,tsi13s6g00522,.,atr42s8g00725
bsi11s1g01671,bsi11s3g00564,tsi13s5g00496,tsi13s14g01083,tsi13s6g00511,.,atr42s8g00663
.,bsi11s3g00566,tsi13s5g00500,tsi13s14g01078,.,tsi13s15g00533,atr42s8g00668
bsi11s1g01655,bsi11s3g00546,tsi13s5g00501,.,tsi13s6g00510,tsi13s15g00535,atr42s8g00710
